2025-07-26 16:29:03,550 INFO    MainThread:82381 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_setup.py:_flush():81] Configure stats pid to 82381
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_setup.py:_flush():81] Loading settings from /Users/bkim/.config/wandb/settings
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_setup.py:_flush():81] Loading settings from /Users/bkim/Codes/jaxpi-kim/EquationModels/leray_alpha/wandb/settings
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/bkim/Codes/jaxpi-kim/EquationModels/leray_alpha/wandb/run-20250726_162903-jyb7s039/logs/debug.log
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/bkim/Codes/jaxpi-kim/EquationModels/leray_alpha/wandb/run-20250726_162903-jyb7s039/logs/debug-internal.log
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_init.py:init():831] calling init triggers
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-07-26 16:29:03,551 INFO    MainThread:82381 [wandb_init.py:init():872] starting backend
2025-07-26 16:29:03,793 INFO    MainThread:82381 [wandb_init.py:init():875] sending inform_init request
2025-07-26 16:29:03,826 INFO    MainThread:82381 [wandb_init.py:init():883] backend started and connected
2025-07-26 16:29:03,829 INFO    MainThread:82381 [wandb_init.py:init():956] updated telemetry
2025-07-26 16:29:03,847 INFO    MainThread:82381 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-07-26 16:29:04,460 INFO    MainThread:82381 [wandb_init.py:init():1032] starting run threads in backend
2025-07-26 16:29:04,509 INFO    MainThread:82381 [wandb_run.py:_console_start():2453] atexit reg
2025-07-26 16:29:04,509 INFO    MainThread:82381 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-07-26 16:29:04,509 INFO    MainThread:82381 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-07-26 16:29:04,509 INFO    MainThread:82381 [wandb_run.py:_redirect():2393] Redirects installed.
2025-07-26 16:29:04,510 INFO    MainThread:82381 [wandb_init.py:init():1078] run started, returning control to user process
2025-07-26 16:31:10,917 INFO    MsgRouterThr:82381 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
